title,doi,data_available,code_available,sample_size_reported,statistical_reporting,validation_strategy,experimental_controls,reproducibility_score,risk_score,classification
Education and Training in the Digital Era: A Compass for “Building Forward Better”,10.5772/intechopen.102678,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Building Capacity and Training for Digital Health: Challenges and Opportunities in Latin America (Preprint),10.2196/preprints.16513,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
"Computer Network Training ""Building Creativity through Wifi Corner Networks in the Digital Era""",10.71200/diasya.v1i1.44,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Building competent IT freshers: modelling digital era training frameworks,10.1108/ejtd-10-2025-0242,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Perspective Chapter: Building Farmer Capacity through Agricultural Extension - A Model for True Capacity,10.5772/intechopen.112260,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Informatics teacher training in Hungary: building community and capacity with tele-houses,10.4324/9780203416174-28,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Training Digital Volunteers: Strategies for Capacity Building in Non-Profit Organizations,10.64357/neya-gjnps-trdgvl-01,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Unleashing the Power of Capacity Building: Transforming Governance and Policy Implementation in the Digital Era,10.18502/kss.v8i17.14121,0,0,0,1,0,0,0.167,83.3,Low Reproducibility
Analysis of the adoption of emergent technologies for risk management in the era of digital manufacturing,10.1016/j.techfore.2022.121562,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Australian farmers left behind in the digital economy – Insights from the Australian Digital Inclusion Index,10.1016/j.jrurstud.2020.09.001,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Adaptation and development pathways for different types of farmers,10.1016/j.envsci.2019.10.007,0,0,0,1,0,0,0.167,83.3,Low Reproducibility
"Building State Capability: Evidence, Analysis, Action",10.1093/acprof:oso/9780198747482.001.0001,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Digital platforms for development: Foundations and research agenda,10.1111/isj.12326,0,0,0,1,0,0,0.167,83.3,Low Reproducibility
Capacity Building in Developing Countries,10.64357/capacity-building-in-developing-countries-2025,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
"Community health workers at the dawn of a new era: 6. Recruitment, training, and continuing education",10.1186/s12961-021-00757-3,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Application of digital technologies for ensuring agricultural productivity,10.1016/j.heliyon.2023.e22601,0,0,0,1,0,0,0.167,83.3,Low Reproducibility
"Artificial Intelligence (AI): Multidisciplinary perspectives on emerging challenges, opportunities, and agenda for resea",10.1016/j.ijinfomgt.2019.08.002,0,0,0,1,0,0,0.167,83.3,Low Reproducibility
Harnessing the digital economy for developing countries,10.1787/4adffb24-en,0,0,0,1,0,0,0.167,83.3,Low Reproducibility
"The SmartAG partner: CCAFS East Africa Bi-Annual Newsletter, July - December 2019",nan,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
An Africa-Europe agenda for rural transformation. Report by the Task Force Rural Africa,nan,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Romania -- Systematic Country Diagnostic: background note-agriculture (English),nan,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
COMMUNITY BASED RESOURCE PLANNING - Studies from Zimbabwe and Northern Australia,nan,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
"Aquaculture Asia, Vol.13, No.3, pp.1-60, July-September 2008",nan,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Food sovereignty and consumer sovereignty: two antagonistic goals?,10.1080/21683565.2017.1359807,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
The Digitalisation of African Agriculture Report 2018-2019,nan,0,0,0,1,0,0,0.167,83.3,Low Reproducibility
Urban food strategies in Central and Eastern Europe: what's specific and what's at stake?,nan,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
Rockefeller Foundation - 1999 Annual Report,nan,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
"ANALYSIS OF IRRIGATION DEVELOPMENT POST FAST TRACK LAND REFORM PROGRAMME. A CASE STUDY OF GOROMONZI DISTRICT, MASHONALAN",nan,0,0,0,0,0,0,0.0,100.0,Low Reproducibility
