theme,gap_type,research_question,hypothesis,iv,dv,controls,methodology,expected_contribution,priority_score
"Nan, Community, Capacity, Training, Building",sparse_theme,"How does Community influence Capacity in the context of Nan, Community, Capacity, Training, Building?","Community significantly influences Capacity, controlling for contextual factors.",Community,Capacity,gender; participant age; educational level,"Mixed-methods exploratory design: qualitative interviews to surface constructs, followed by a mixed-methods case study to test the hypothesis.",Provides empirical evidence on underexplored relationships within the theme.,0.56
"Nan, Community, Capacity, Training, Building",sparse_theme,"How does Community influence Training in the context of Nan, Community, Capacity, Training, Building?","Community positively determines Training, controlling for contextual factors.",Community,Training,participant age; educational level,"Mixed-methods exploratory design: qualitative interviews to surface constructs, followed by a systematic literature review to test the hypothesis.",Extends theoretical frameworks by integrating cross-domain concepts.,0.56
"Training, Digital, Health, Jats, Network",future_direction,"To what extent does Training predict Digital, and what moderating factors shape this relationship?",Increased Training positively shapes Digital.,Training,Digital,institutional type; gender; participant age,Longitudinal systematic literature review with multi-level modelling to capture temporal dynamics.,Extends theoretical frameworks by integrating cross-domain concepts.,0.703
"Training, Digital, Health, Jats, Network",future_direction,"To what extent does Training predict Health, and what moderating factors shape this relationship?",Increased Training negatively influences Health.,Training,Health,gender; participant age,Longitudinal comparative case analysis with multi-level modelling to capture temporal dynamics.,Offers actionable insights for practitioners and policy-makers.,0.703
"Capacity, Building, Capacity Building, Countries, Development",future_direction,"To what extent does Capacity predict Building, and what moderating factors shape this relationship?","Capacity significantly predicts Building, controlling for contextual factors.",Capacity,Building,technology literacy; institutional type; gender,Longitudinal mixed-methods case study with multi-level modelling to capture temporal dynamics.,Provides empirical evidence on underexplored relationships within the theme.,0.557
"Capacity, Building, Capacity Building, Countries, Development",future_direction,"To what extent does Capacity predict Capacity Building, and what moderating factors shape this relationship?","Capacity positively shapes Capacity Building, controlling for contextual factors.",Capacity,Capacity Building,institutional type; gender; participant age,Longitudinal systematic literature review with multi-level modelling to capture temporal dynamics.,Extends theoretical frameworks by integrating cross-domain concepts.,0.557
"Food, Production, Different, Technologies, Demands",future_direction,"To what extent does Food predict Production, and what moderating factors shape this relationship?",Increased Food significantly predicts Production.,Food,Production,technology literacy; institutional type; gender,Longitudinal mixed-methods case study with multi-level modelling to capture temporal dynamics.,Provides empirical evidence on underexplored relationships within the theme.,0.56
"Food, Production, Different, Technologies, Demands",future_direction,"To what extent does Food predict Technologies, and what moderating factors shape this relationship?",Increased Food positively shapes Technologies.,Food,Technologies,institutional type; gender; participant age,Longitudinal systematic literature review with multi-level modelling to capture temporal dynamics.,Extends theoretical frameworks by integrating cross-domain concepts.,0.56
"Nan, Community, Capacity, Training, Building",future_direction,"To what extent does Community predict Capacity, and what moderating factors shape this relationship?","Community significantly predicts Capacity, controlling for contextual factors.",Community,Capacity,technology literacy; institutional type; gender,Longitudinal mixed-methods case study with multi-level modelling to capture temporal dynamics.,Provides empirical evidence on underexplored relationships within the theme.,0.47
"Nan, Community, Capacity, Training, Building",future_direction,"To what extent does Community predict Training, and what moderating factors shape this relationship?","Community positively shapes Training, controlling for contextual factors.",Community,Training,institutional type; gender; participant age,Longitudinal systematic literature review with multi-level modelling to capture temporal dynamics.,Extends theoretical frameworks by integrating cross-domain concepts.,0.47
